stamp,decode,file,overall_decode_tps,decode_tps_first,decode_tps_last,decode_drop_pct,final_ctx
2026-07-15_20-57-38,fast,profile_2026-07-15_20-57-38_fast.txt,13.844,20.362,11.576,43.15,451
2026-07-16_15-41-58,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_15-41-58_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,46.546,44.609,43.704,2.03,459
2026-07-16_15-58-58,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_15-58-58_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,40.940,40.910,37.960,7.21,460
2026-07-16_16-01-23,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_16-01-23_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,41.328,44.787,37.386,16.52,459
2026-07-16_16-10-03,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_16-10-03_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,41.833,44.365,38.766,12.62,438
2026-07-16_16-14-15,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_16-14-15_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,45.066,59.372,40.081,32.49,459
2026-07-16_16-17-33,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_16-17-33_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,34.581,58.147,25.190,56.68,433
2026-07-16_16-20-14,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_16-20-14_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,39.353,56.788,33.794,40.49,459
2026-07-16_16-21-44,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_16-21-44_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,36.964,56.445,32.062,43.20,459
2026-07-16_16-23-40,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_16-23-40_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,30.658,58.689,23.578,59.83,459
2026-07-16_16-26-11,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_16-26-11_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,38.755,57.231,32.221,43.70,459
2026-07-16_20-13-26,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_20-13-26_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,40.521,40.621,40.247,0.92,438
2026-07-16_22-05-08,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_22-05-08_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,42.232,42.440,41.741,1.65,438
2026-07-16_22-13-09,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_22-13-09_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,50.164,48.543,50.099,-3.21,459
2026-07-16_22-13-57,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_22-13-57_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,70.117,73.099,67.513,7.64,459
2026-07-16_22-15-05,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_22-15-05_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,69.236,73.320,66.306,9.57,459
